iteracja,a,b,c,f(c)
1,-0.09,0.01,0.000302187,0.000131218
2,-0.09,0.000302187,8.60285e-06,3.73616e-06
3,-0.09,8.60285e-06,2.44459e-07,1.06167e-07
4,-0.09,2.44459e-07,6.94619e-09,3.01669e-09
5,-0.09,6.94619e-09,1.97373e-10,8.57179e-11
6,-0.09,1.97373e-10,5.60822e-12,2.4356e-12
7,-0.09,5.60822e-12,1.59395e-13,6.92387e-14
8,-0.09,1.59395e-13,4.49703e-15,1.92865e-15
9,-0.09,4.49703e-15,1.8232e-16,9.64327e-17

iteracja,a,b,c,f(c)
1,0.51,0.61,0.579683,0.00377775
2,0.579683,0.61,0.584468,0.000227245
3,0.584468,0.61,0.584753,1.34016e-05
4,0.584753,0.61,0.58477,7.89418e-07
5,0.58477,0.61,0.584771,4.64974e-08
6,0.584771,0.61,0.584771,2.73873e-09
7,0.584771,0.61,0.584771,1.61313e-10
8,0.584771,0.61,0.584771,9.50148e-12
9,0.584771,0.61,0.584771,5.59636e-13
10,0.584771,0.61,0.584771,3.28904e-14
11,0.584771,0.61,0.584771,1.97065e-15
12,0.584771,0.61,0.584771,1.11022e-16

